,bin_location,committed,incoming,location_id,reorder_point,stock_on_hand_x,sku,composite,country_of_origin,created_at,default_ledger_account_id,description,hs_code,id,image_ids,is_online,keep_selling,last_cost_price,manage_stock,max_online,moq,moving_average_cost,name,online_ordering,opt1,opt2,opt3,packsize,position,product_id,product_name,product_status,product_type,purchasable,retail_price,sellable,status,stock_batchable,supplier_code,taxable,upc,updated_at,weight,weight_unit,weight_value,wholesale_price,18772,18773,18774,19506,19651,buy,retail,wholesale
0,,0,0,WH,,48,3702,False,US,2018-05-02T07:30:29.215Z,,,,40376105,[],False,False,22.65,True,,0,22.65,30ml,False,,,,False,3,14756130,Calm Repairing Sensitive Serum,active,Treatment,True,51.0,True,active,False,,False,,2018-05-07T10:50:47.782Z,g,g,,,,,,,,22.65,51.0,
1,,0,0,WH,,1730,9559,False,US,2018-05-02T07:29:09.833Z,,,,40376057,[17849547],False,False,0.39,True,,0,0.39,Sachet,True,Sachet,,,False,2,22847092,Peptide Booster,active,Treatment,True,1.5,True,active,False,,False,655439095594,2018-05-16T06:29:27.166Z,g,g,,0.75,0.7500,0.7500,0.7500,0.7500,0.7500,0.39,1.5,0.75
2,,0,0,BC,,170,9559,False,US,2018-05-02T07:29:09.833Z,,,,40376057,[17849547],False,False,0.39,True,,0,0.39,Sachet,True,Sachet,,,False,2,22847092,Peptide Booster,active,Treatment,True,1.5,True,active,False,,False,655439095594,2018-05-16T06:29:27.166Z,g,g,,0.75,0.7500,0.7500,0.7500,0.7500,0.7500,0.39,1.5,0.75
3,,0,0,FP,,100,9559,False,US,2018-05-02T07:29:09.833Z,,,,40376057,[17849547],False,False,0.39,True,,0,0.39,Sachet,True,Sachet,,,False,2,22847092,Peptide Booster,active,Treatment,True,1.5,True,active,False,,False,655439095594,2018-05-16T06:29:27.166Z,g,g,,0.75,0.7500,0.7500,0.7500,0.7500,0.7500,0.39,1.5,0.75
4,,0,0,HQ,,0,9559,False,US,2018-05-02T07:29:09.833Z,,,,40376057,[17849547],False,False,0.39,True,,0,0.39,Sachet,True,Sachet,,,False,2,22847092,Peptide Booster,active,Treatment,True,1.5,True,active,False,,False,655439095594,2018-05-16T06:29:27.166Z,g,g,,0.75,0.7500,0.7500,0.7500,0.7500,0.7500,0.39,1.5,0.75
5,,26,0,WH,,253,6206,False,US,2018-04-26T08:35:38.099Z,,,,40093665,"[17692125, 17692154, 17775243, 17775262]",False,False,5.21,True,,0,5.21,30 ml,True,30 ml,,,False,2,14756180,Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid),active,Exfoliator,True,17.0,True,active,False,,False,655439062060,2018-05-15T10:28:26.946Z,g,g,0.0,8.5,8.5000,8.5000,8.5000,8.5000,8.5000,5.21,17.0,8.5
6,,2,0,BC,,-3,6206,False,US,2018-04-26T08:35:38.099Z,,,,40093665,"[17692125, 17692154, 17775243, 17775262]",False,False,5.21,True,,0,5.21,30 ml,True,30 ml,,,False,2,14756180,Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid),active,Exfoliator,True,17.0,True,active,False,,False,655439062060,2018-05-15T10:28:26.946Z,g,g,0.0,8.5,8.5000,8.5000,8.5000,8.5000,8.5000,5.21,17.0,8.5
7,,0,0,FP,,-1,6206,False,US,2018-04-26T08:35:38.099Z,,,,40093665,"[17692125, 17692154, 17775243, 17775262]",False,False,5.21,True,,0,5.21,30 ml,True,30 ml,,,False,2,14756180,Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid),active,Exfoliator,True,17.0,True,active,False,,False,655439062060,2018-05-15T10:28:26.946Z,g,g,0.0,8.5,8.5000,8.5000,8.5000,8.5000,8.5000,5.21,17.0,8.5
8,,0,0,HQ,,0,6206,False,US,2018-04-26T08:35:38.099Z,,,,40093665,"[17692125, 17692154, 17775243, 17775262]",False,False,5.21,True,,0,5.21,30 ml,True,30 ml,,,False,2,14756180,Clear Acne Regular Strength Exfoliating Treatment 2% BHA (Salicylic Acid),active,Exfoliator,True,17.0,True,active,False,,False,655439062060,2018-05-15T10:28:26.946Z,g,g,0.0,8.5,8.5000,8.5000,8.5000,8.5000,8.5000,5.21,17.0,8.5
9,,35,0,WH,,32,2016,False,US,2018-04-23T11:12:05.468Z,,,,39987834,[17562601],False,False,0.0,True,,0,1.9364,30 ml,True,30ml,,,False,2,14756213,Skin Perfecting 2% BHA (Salicylic Acid) Liquid Exfoliator,active,Exfoliator,True,13.0,True,active,False,,False,655439020169,2018-05-15T04:00:45.483Z,g,g,0.0,6.5,6.5000,6.5000,6.5000,6.5000,6.5000,3.55,13.0,6.5
10,,1,0,BC,,4,2016,False,US,2018-04-23T11:12:05.468Z,,,,39987834,[17562601],False,False,0.0,True,,0,1.9364,30 ml,True,30ml,,,False,2,14756213,Skin Perfecting 2% BHA (Salicylic Acid) Liquid Exfoliator,active,Exfoliator,True,13.0,True,active,False,,False,655439020169,2018-05-15T04:00:45.483Z,g,g,0.0,6.5,6.5000,6.5000,6.5000,6.5000,6.5000,3.55,13.0,6.5
11,,0,0,FP,,0,2016,False,US,2018-04-23T11:12:05.468Z,,,,39987834,[17562601],False,False,0.0,True,,0,1.9364,30 ml,True,30ml,,,False,2,14756213,Skin Perfecting 2% BHA (Salicylic Acid) Liquid Exfoliator,active,Exfoliator,True,13.0,True,active,False,,False,655439020169,2018-05-15T04:00:45.483Z,g,g,0.0,6.5,6.5000,6.5000,6.5000,6.5000,6.5000,3.55,13.0,6.5
